"gender","race_ethnicity","parental_level_of_education","lunch","test_preparation_course","math_score","reading_score","writing_score","total_score","average_score","avg_math_score","avg_reading_score","avg_writing_score"
1,group C,some high school,1,0,57,61,54,172,57.333333333333336,66.0890,69.1690,68.0540
1,group C,bachelor's degree,1,1,63,64,66,193,64.33333333333333,66.0890,69.1690,68.0540
1,group D,bachelor's degree,0,0,55,46,44,145,48.333333333333336,66.0890,69.1690,68.0540
0,group E,associate's degree,1,0,51,51,54,156,52.0,66.0890,69.1690,68.0540
1,group D,high school,0,0,44,51,48,143,47.666666666666664,66.0890,69.1690,68.0540
0,group E,some high school,0,0,32,34,38,104,34.666666666666664,66.0890,69.1690,68.0540
1,group B,high school,0,0,36,29,27,92,30.666666666666668,66.0890,69.1690,68.0540
0,group A,high school,0,1,34,48,41,123,41.0,66.0890,69.1690,68.0540
1,group B,high school,1,0,57,48,51,156,52.0,66.0890,69.1690,68.0540
1,group D,bachelor's degree,0,0,50,42,48,140,46.666666666666664,66.0890,69.1690,68.0540
0,group C,bachelor's degree,1,1,52,61,66,179,59.666666666666664,66.0890,69.1690,68.0540
0,group C,bachelor's degree,0,1,47,62,66,175,58.333333333333336,66.0890,69.1690,68.0540
0,group B,associate's degree,0,0,46,61,55,162,54.0,66.0890,69.1690,68.0540
0,group C,high school,1,0,44,61,52,157,52.333333333333336,66.0890,69.1690,68.0540
0,group C,high school,0,0,35,53,46,134,44.666666666666664,66.0890,69.1690,68.0540
0,group B,associate's degree,0,0,54,65,65,184,61.333333333333336,66.0890,69.1690,68.0540
1,group E,associate's degree,0,0,64,56,52,172,57.333333333333336,66.0890,69.1690,68.0540
1,group E,associate's degree,0,1,46,43,44,133,44.333333333333336,66.0890,69.1690,68.0540
0,group C,some high school,0,0,48,56,51,155,51.666666666666664,66.0890,69.1690,68.0540
1,group D,some college,0,0,62,57,62,181,60.333333333333336,66.0890,69.1690,68.0540
0,group E,high school,0,0,57,58,57,172,57.333333333333336,66.0890,69.1690,68.0540
1,group A,some high school,0,1,61,62,61,184,61.333333333333336,66.0890,69.1690,68.0540
0,group B,high school,1,0,58,68,61,187,62.333333333333336,66.0890,69.1690,68.0540
0,group C,associate's degree,1,0,54,61,58,173,57.666666666666664,66.0890,69.1690,68.0540
0,group D,some college,0,0,49,58,60,167,55.666666666666664,66.0890,69.1690,68.0540
1,group B,some high school,0,1,49,50,52,151,50.333333333333336,66.0890,69.1690,68.0540
1,group C,high school,1,1,58,52,54,164,54.666666666666664,66.0890,69.1690,68.0540
0,group D,high school,1,0,45,63,59,167,55.666666666666664,66.0890,69.1690,68.0540
0,group A,some college,1,0,56,58,64,178,59.333333333333336,66.0890,69.1690,68.0540
0,group D,some high school,0,0,48,54,53,155,51.666666666666664,66.0890,69.1690,68.0540
1,group A,some high school,1,1,66,68,64,198,66.0,66.0890,69.1690,68.0540
1,group C,some college,1,0,63,63,60,186,62.0,66.0890,69.1690,68.0540
0,group A,high school,0,1,53,50,60,163,54.333333333333336,66.0890,69.1690,68.0540
0,group D,some college,0,0,49,65,61,175,58.333333333333336,66.0890,69.1690,68.0540
0,group A,some college,1,0,54,63,67,184,61.333333333333336,66.0890,69.1690,68.0540
1,group B,some college,0,1,60,62,60,182,60.666666666666664,66.0890,69.1690,68.0540
1,group C,associate's degree,1,0,62,65,58,185,61.666666666666664,66.0890,69.1690,68.0540
1,group D,high school,1,1,55,41,48,144,48.0,66.0890,69.1690,68.0540
0,group B,high school,0,0,8,24,23,55,18.333333333333332,66.0890,69.1690,68.0540
1,group A,high school,1,0,57,51,54,162,54.0,66.0890,69.1690,68.0540
0,group C,associate's degree,1,0,40,59,51,150,50.0,66.0890,69.1690,68.0540
0,group A,some high school,0,0,44,45,45,134,44.666666666666664,66.0890,69.1690,68.0540
1,group A,high school,1,0,63,63,62,188,62.666666666666664,66.0890,69.1690,68.0540
1,group C,high school,0,0,62,55,55,172,57.333333333333336,66.0890,69.1690,68.0540
